slug,type,tech_contact,public_contact,index_url,aspace_id
UPENN_RBML, penn_archives_space, hmengel@pobox.upenn.edu, rbml@pobox.upenn.edu,, 4
UPENN_CAJS, penn_archives_space, cajs@pobox.upenn.edu, cajs@pobox.upenn.edu,, 5
UPENN_BIDDLE, penn_archives_space, loneil@law.upenn.edu, biddlearchives@law.upenn.edu,, 7
UPENN_MUSEUM, index, archives@museum.upenn.edu, archives@museum.upenn.edu, https://www.penn.museum/collections/archives/finding-aids/,
ISM, index, director@pacscl.org, library@phillyseaport.org, http://archive.pacscl.org/phillyseaport/production/,
DU, index, mgraham@drexelmed.edu, archives@drexel.edu, https://drexel.edu/legacy-center/ead_harvest-other_pacscl_repositories/drexel_university_archives/,
DUCOM, index, mgraham@drexelmed.edu, archives@drexelmed.edu, https://drexel.edu/legacy-center/ead_harvest/ead_production/,
HAVERFORD, index, shorowitz@haverford.edu, hc-special@haverford.edu, https://web.tricolib.brynmawr.edu/paarp/haverford/production/,
HSP, index, mshoemaker@hsp.org, library@hsp.org, http://www2.hsp.org/collections/manuscripts/pacscl/hsp/production/,
WFIS, index, LynnD@wagnerfreeinstitute.org, lynnd@wagnerfreeinstitute.org, https://drexel.edu/legacy-center/ead_harvest-other_pacscl_repositories/wagner/,
BMC, index, rappel@brynmawr.edu, SpecColl@brynmawr.edu, https://web.tricolib.brynmawr.edu/paarp/brynmawr/production/,
CPP, index, abrogan@collegeofphysicians.org, library@collphyphil.org, https://eadxml.cpparchives.org/manuscripts/,
ANSP, index, director@pacscl.org, archives@ansp.org, http://archive.pacscl.org/acnatsci/production/,
PMA, index, skanderson@philamuseum.org, Archives@philamuseum.org, https://legacyweb.philamuseum.org/pma_archives/pacscl/index.html,
GSP, index, librarian@germansociety.org, librarian@germansociety.org, https://www.germansociety.org/LibraryFindingAidsforHarvesting/,
LCP, index, reference@librarycompany.org, reference@librarycompany.org, http://3.139.231.97/LCP_EAD-main/,
CCA, index, ccarchives@chesco.org, ccarchives@chesco.org, https://drexel.edu/legacy-center/ead_harvest-other_pacscl_repositories/chester_county_archives/,
CCHS, index, drofini@chestercohistorical.org, library@chestercohistorical.org, https://drexel.edu/legacy-center/ead_harvest-other_pacscl_repositories/chester_county_historical_society/,
NARA, index, Leslie.Simon@nara.gov, philadelphia.archives@nara.gov, https://drexel.edu/legacy-center/ead_harvest-other_pacscl_repositories/nara_at_philadelphia/,
PCA, index, jrawnsley@msn.com, archives@phila.gov, https://drexel.edu/legacy-center/ead_harvest-other_pacscl_repositories/philadelphia_city_archives/,
PennHort, index, jevans@pennhort.org, jevans@pennhort.org, https://drexel.edu/legacy-center/ead_harvest-other_pacscl_repositories/pennsylvania_horticultural_society/,
TUSCRC, index, msly@temple.edu, msly@temple.edu, https://sftp-web.tul-infra.page/scrc_ead/Temple/,
ude, index, lrjm@udel.edu, lrjm@udel.edu, https://library.udel.edu/special/findaids/data/ead/,
UL, index, mundyj@unionleague.org, mundyj@unionleague.org, https://drexel.edu/legacy-center/ead_harvest-other_pacscl_repositories/union_league/,
UPENN_BATES, index, colliert@nursing.upenn.edu, nhistory@nursing.upenn.edu, https://sites.nursing.upenn.edu/bates-center-archive/,
PhilU, index, mgraham@drexelmed.edu, gorskis@philau.edu, https://drexel.edu/legacy-center/ead_harvest-other_pacscl_repositories/philadelphia_university/,
LEHIGH, index, ccc2@lehigh.edu, inspc@lehigh.edu, https://digitalcollections.lib.lehigh.edu/ATexports/files/,
PAHRC, index, jhoffman@archphila.org, pahrc89@gmail.com, http://www.pahrc.net/faids/,
swarthmore, index, ccauste1@swarthmore.edu, ccauste1@swarthmore.edu, https://web.tricolib.brynmawr.edu/paarp/swarthmore-fhl/production/,
UPENN_ANN, index, jordan.mitchell@asc.upenn.edu, jordan.mitchell@asc.upenn.edu, https://appsstaging.asc.upenn.edu/atoolkit/index.html,
WHYY, index, mgraham@drexelmed.edu, talkback@whyy.org, https://drexel.edu/legacy-center/ead_harvest-other_pacscl_repositories/whyy/,
SCIHIST, index, DSanford@ScienceHistory.org, archivist@sciencehistory.org, https://ead.sciencehistory.org/,
PRIN_MUDD, index, digital-library@princeton.libanswers.com, mudd@princeton.edu, https://findingaids.princeton.edu/pacscl/production/,
CURTIS, index, barbara.benedett@curtis.edu, library@curtis.edu, http://www.curtisscripts.dreamhosters.com/PACSCL_Finding_Aids/Production/,
WWCC, index, janderies@waygay.org, archives@waygay.org, https://wilcoxarchives.org/ead/production/,
VILLA, index, demian.katz@villanova.edu, michael.foight@villanova.edu, http://archives.villanova.edu/paarp/,
SMREP, index, hmengel@upenn.edu, small_repositories@hsp.org, http://archive.pacscl.org/hosted_ead/production/,
Peace, index, ccauste1@swarthmore.edu, ccauste1@swarthmore.edu, https://web.tricolib.brynmawr.edu/paarp/swarthmore-scpc/production/,
QuakMeet, index, ccauste1@swarthmore.edu, ccauste1@swarthmore.edu, https://web.tricolib.brynmawr.edu/paarp/quaker/production/,
SJU, index, mgraham@drexelmed.edu, dlenert@sju.edu, https://drexel.edu/legacy-center/ead_harvest-other_pacscl_repositories/stjoseph_university/,
FLP, index, NorrisLA@freelibrary.org, ErefRBD@freelibrary.org, https://libwww.freelibrary.org/ead/pacscl/production,
UPENN_AAUP, index, hisbell@upenn.edu, hisbell@upenn.edu, https://archive.pennweitzman.org/ead/,
UPENN_ARCHIVES, penn_archives_space, jmduffin@pobox.upenn.edu, uarc@lists.isc.upenn.edu,,16
