slug,tech_contact,url,public_contact
upenn_rbml, hmengel@pobox.upenn.edu, http://127.0.0.1:8080/ead/manuscripts, rbml@pobox.upenn.edu
upenn_cajs, cajs@pobox.upenn.edu, http://127.0.0.1:8080/ead/cajs, cajs@pobox.upenn.edu
upenn_museum, archives@museum.upenn.edu, https://www.penn.museum/collections/archives/finding-aids/, archives@museum.upenn.edu
ism, lblanchard_pacscl@yahoo.com, http://archive.pacscl.org/phillyseaport/production/, library@phillyseaport.org
du, mgraham@drexelmed.edu, https://drexel.edu/legacy-center/ead_harvest-other_pacscl_repositories/drexel_university_archives/, archives@drexel.edu
ducom, mgraham@drexelmed.edu, https://drexel.edu/legacy-center/ead_harvest/ead_production/, archives@drexelmed.edu
haverford, shorowitz@haverford.edu, https://web.tricolib.brynmawr.edu/paarp/haverford/production/, hc-special@haverford.edu
hsp, mshoemaker@hsp.org, http://www2.hsp.org/collections/manuscripts/pacscl/hsp/production/, library@hsp.org
wfis, LynnD@wagnerfreeinstitute.org, http://www.wagnerfreeinstitute.org/archives_ead/, lynnd@wagnerfreeinstitute.org
bmc, rappel@brynmawr.edu, https://web.tricolib.brynmawr.edu/paarp/brynmawr/production/, SpecColl@brynmawr.edu
cpp, abrogan@collegeofphysicians.org, https://eadxml.cpparchives.org/manuscripts/, library@collphyphil.org
ansp, lblanchard_pacscl@yahoo.com, http://archive.pacscl.org/acnatsci/production/, archives@ansp.org
pma, skanderson@philamuseum.org, https://www.philamuseum.org/pma_archives/pacscl/, Archives@philamuseum.org
gsp, librarian@germansociety.org, https://www.germansociety.org/LibraryFindingAidsforHarvesting/, librarian@germansociety.org
lcp, nscalessa@librarycompany.org, http://3.139.231.97/LCP_EAD-main/, cking@librarycompany.org
cca, ccarchives@chesco.org, https://drexel.edu/legacy-center/ead_harvest-other_pacscl_repositories/chester_county_archives/, ccarchives@chesco.org
cchs, drofini@chestercohistorical.org, https://drexel.edu/legacy-center/ead_harvest-other_pacscl_repositories/chester_county_historical_society/, library@chestercohistorical.org
nara, Leslie.Simon@nara.gov, https://drexel.edu/legacy-center/ead_harvest-other_pacscl_repositories/nara_at_philadelphia/, philadelphia.archives@nara.gov
pca, jrawnsley@msn.com, https://drexel.edu/legacy-center/ead_harvest-other_pacscl_repositories/philadelphia_city_archives/, archives@phila.gov
pennhort, jevans@pennhort.org, https://drexel.edu/legacy-center/ead_harvest-other_pacscl_repositories/pennsylvania_horticultural_society/, jevans@pennhort.org
tuscrc, msly@temple.edu, https://sftp-web.tul-infra.page/scrc_ead/Temple/, msly@temple.edu
ude, lrjm@udel.edu, https://library.udel.edu/special/findaids/data/ead/, lrjm@udel.edu
ul, mundyj@unionleague.org, https://drexel.edu/legacy-center/ead_harvest-other_pacscl_repositories/union_league/, mundyj@unionleague.org
upenn_biddle, loneil@law.upenn.edu, https://www.law.upenn.edu/library/archives/findingaids/, loneil@law.upenn.edu
upenn_archives, jmduffin@pobox.upenn.edu, http://127.0.0.1:8080/ead/archives, uarc@lists.upenn.edu
upenn_bates, colliert@nursing.upenn.edu, https://sites.nursing.upenn.edu/bates-center-archive/, nhistory@nursing.upenn.edu
philu, mgraham@drexelmed.edu, https://drexel.edu/legacy-center/ead_harvest-other_pacscl_repositories/philadelphia_university/, gorskis@philau.edu
lehigh, ccc2@lehigh.edu, https://digital.lib.lehigh.edu/ATexports/files/, inspc@lehigh.edu
pahrc, jhoffman@archphila.org, http://www.pahrc.net/faids/, pahrc89@gmail.com
swarthmore, ccauste1@swarthmore.edu, https://web.tricolib.brynmawr.edu/paarp/swarthmore-fhl/production/, ccauste1@swarthmore.edu
upenn_ann, jordan.mitchell@asc.upenn.edu, https://appsstaging.asc.upenn.edu/atoolkit/index.html, jordan.mitchell@asc.upenn.edu
whyy, mgraham@drexelmed.edu, https://drexel.edu/legacy-center/ead_harvest-other_pacscl_repositories/whyy/, talkback@whyy.org
scihist, DSanford@ScienceHistory.org,https://ead.sciencehistory.org/, archivist@sciencehistory.org
prin_mudd, alexis.antracoli@princeton.edu, https://findingaids.princeton.edu/pacscl/production/, mudd@princeton.edu
curtis, barbara.benedett@curtis.edu, http://www.curtisscripts.dreamhosters.com/PACSCL_Finding_Aids/Production/, library@curtis.edu
wwcc, janderies@waygay.org, https://wilcoxarchives.org/ead/production/, archives@waygay.org
villa, demian.katz@villanova.edu, http://archives.villanova.edu/paarp/, michael.foight@villanova.edu
smrep, hmengel@upenn.edu, http://archive.pacscl.org/hosted_ead/production/, small_repositories@hsp.org
peace, ccauste1@swarthmore.edu, https://web.tricolib.brynmawr.edu/paarp/swarthmore-scpc/production/, ccauste1@swarthmore.edu
quakmeet, ccauste1@swarthmore.edu, https://web.tricolib.brynmawr.edu/paarp/quaker/production/, ccauste1@swarthmore.edu
sju, mgraham@drexelmed.edu, https://drexel.edu/legacy-center/ead_harvest-other_pacscl_repositories/stjoseph_university/, dlenert@sju.edu
